Epoch 0 | Time: 2004 | Nodes: 14313 | Edges: 372427 | log-lik: -8.61 | Elapsed 3372.63 s
Epoch 0 | Time: 2005 | Nodes: 14854 | Edges: 407884 | log-lik: -15.89 | Elapsed 3662.30 s
Epoch 0 | Time: 2006 | Nodes: 13296 | Edges: 184635 | log-lik: -15.18 | Elapsed 3795.28 s
Epoch 0 | Time: 2007 | Nodes: 52 | Edges: 6 | log-lik: -2.67 | Elapsed 3795.61 s
Epoch 0 | Time: 2008 | Nodes: 0 | Edges: 0 | log-lik: -2.67 | Elapsed 3795.64 s
Epoch 0 | Time: 2009 | Nodes: 0 | Edges: 0 | log-lik: -2.67 | Elapsed 3795.66 s
Epoch 1 | Time: 1950 | Nodes: 1034 | Edges: 9854 | log-lik: -15.53 | Elapsed 3798.08 s
Epoch 1 | Time: 1951 | Nodes: 951 | Edges: 9629 | log-lik: -14.36 | Elapsed 3800.42 s
Epoch 1 | Time: 1952 | Nodes: 694 | Edges: 10672 | log-lik: -12.48 | Elapsed 3803.41 s
Epoch 1 | Time: 1953 | Nodes: 641 | Edges: 12177 | log-lik: -724.44 | Elapsed 3806.56 s
Epoch 1 | Time: 1954 | Nodes: 655 | Edges: 12532 | log-lik: -1572.14 | Elapsed 3809.83 s
Epoch 1 | Time: 1955 | Nodes: 751 | Edges: 11793 | log-lik: -11.80 | Elapsed 3812.89 s
Epoch 1 | Time: 1956 | Nodes: 731 | Edges: 12686 | log-lik: -11.67 | Elapsed 3816.32 s
Epoch 1 | Time: 1957 | Nodes: 775 | Edges: 14000 | log-lik: -11.62 | Elapsed 3820.10 s
Epoch 1 | Time: 1958 | Nodes: 937 | Edges: 15298 | log-lik: -10.82 | Elapsed 3824.42 s
Epoch 1 | Time: 1959 | Nodes: 889 | Edges: 16272 | log-lik: -1191.31 | Elapsed 3828.81 s
Epoch 1 | Time: 1960 | Nodes: 1020 | Edges: 17969 | log-lik: -10.46 | Elapsed 3833.65 s
Epoch 1 | Time: 1961 | Nodes: 1074 | Edges: 20557 | log-lik: -11.38 | Elapsed 3839.17 s
Epoch 1 | Time: 1962 | Nodes: 1113 | Edges: 23430 | log-lik: -193770358537.69 | Elapsed 3845.91 s
Epoch 1 | Time: 1963 | Nodes: 1196 | Edges: 26169 | log-lik: -7.87 | Elapsed 3853.44 s
Epoch 1 | Time: 1964 | Nodes: 1299 | Edges: 31666 | log-lik: -9.87 | Elapsed 3862.63 s
Epoch 1 | Time: 1965 | Nodes: 1944 | Edges: 34589 | log-lik: -13.91 | Elapsed 3873.08 s
Epoch 1 | Time: 1966 | Nodes: 1876 | Edges: 37823 | log-lik: -11.09 | Elapsed 3884.13 s
Epoch 1 | Time: 1967 | Nodes: 1938 | Edges: 42833 | log-lik: -10.57 | Elapsed 3896.87 s
Epoch 1 | Time: 1968 | Nodes: 2090 | Edges: 48001 | log-lik: -29.20 | Elapsed 3911.51 s
Epoch 1 | Time: 1969 | Nodes: 2335 | Edges: 54623 | log-lik: -10.07 | Elapsed 3928.30 s
Epoch 1 | Time: 1970 | Nodes: 3050 | Edges: 56536 | log-lik: -104.43 | Elapsed 3946.03 s
Epoch 1 | Time: 1971 | Nodes: 3119 | Edges: 64014 | log-lik: -3.72 | Elapsed 3966.92 s
Epoch 1 | Time: 1972 | Nodes: 3427 | Edges: 72547 | log-lik: -7.27 | Elapsed 3988.81 s
Epoch 1 | Time: 1973 | Nodes: 3674 | Edges: 78693 | log-lik: -8.93 | Elapsed 4015.09 s
Epoch 1 | Time: 1974 | Nodes: 4024 | Edges: 82741 | log-lik: -12.32 | Elapsed 4041.60 s
Epoch 1 | Time: 1975 | Nodes: 4445 | Edges: 91704 | log-lik: -9.44 | Elapsed 4072.07 s
Epoch 1 | Time: 1976 | Nodes: 4619 | Edges: 99203 | log-lik: -9.54 | Elapsed 4105.11 s
Epoch 1 | Time: 1977 | Nodes: 4939 | Edges: 104889 | log-lik: -6.48 | Elapsed 4140.46 s
Epoch 1 | Time: 1978 | Nodes: 5091 | Edges: 107435 | log-lik: -5.79 | Elapsed 4177.19 s
Epoch 1 | Time: 1979 | Nodes: 5296 | Edges: 116473 | log-lik: -4.71 | Elapsed 4218.25 s
Epoch 1 | Time: 1980 | Nodes: 5609 | Edges: 121177 | log-lik: -5.76 | Elapsed 4260.78 s
Epoch 1 | Time: 1981 | Nodes: 5777 | Edges: 126214 | log-lik: -2.97 | Elapsed 4306.31 s
Epoch 1 | Time: 1982 | Nodes: 6120 | Edges: 134770 | log-lik: -2.68 | Elapsed 4356.51 s
Epoch 1 | Time: 1983 | Nodes: 6267 | Edges: 141881 | log-lik: -3.00 | Elapsed 4409.54 s
Epoch 1 | Time: 1984 | Nodes: 6670 | Edges: 148155 | log-lik: -2.65 | Elapsed 4466.70 s
Epoch 1 | Time: 1985 | Nodes: 6944 | Edges: 157025 | log-lik: -3.17 | Elapsed 4528.39 s
Epoch 1 | Time: 1986 | Nodes: 7076 | Edges: 152799 | log-lik: -4.38 | Elapsed 4591.44 s
Epoch 1 | Time: 1987 | Nodes: 7445 | Edges: 158542 | log-lik: -35.05 | Elapsed 4660.66 s
Epoch 1 | Time: 1988 | Nodes: 7728 | Edges: 167564 | log-lik: -6.12 | Elapsed 4734.21 s
Epoch 1 | Time: 1989 | Nodes: 7997 | Edges: 175880 | log-lik: -5.23 | Elapsed 4814.49 s
Epoch 1 | Time: 1990 | Nodes: 8246 | Edges: 184243 | log-lik: -337.36 | Elapsed 4901.76 s
Epoch 1 | Time: 1991 | Nodes: 8564 | Edges: 188567 | log-lik: -5.21 | Elapsed 4995.30 s
Epoch 1 | Time: 1992 | Nodes: 8708 | Edges: 194721 | log-lik: -3.14 | Elapsed 5095.00 s
Epoch 1 | Time: 1993 | Nodes: 8928 | Edges: 200875 | log-lik: -62.94 | Elapsed 5202.53 s
Epoch 1 | Time: 1994 | Nodes: 9318 | Edges: 211604 | log-lik: -24.04 | Elapsed 5322.52 s
Epoch 1 | Time: 1995 | Nodes: 9603 | Edges: 219886 | log-lik: -845629.79 | Elapsed 5450.83 s
Epoch 1 | Time: 1996 | Nodes: 10226 | Edges: 252431 | log-lik: -3.12 | Elapsed 5599.19 s
Epoch 1 | Time: 1997 | Nodes: 10414 | Edges: 258762 | log-lik: -18.01 | Elapsed 5750.53 s
Epoch 1 | Time: 1998 | Nodes: 11137 | Edges: 267966 | log-lik: -596.25 | Elapsed 5900.01 s
Epoch 1 | Time: 1999 | Nodes: 11916 | Edges: 281085 | log-lik: -419.19 | Elapsed 6074.29 s
Epoch 1 | Time: 2000 | Nodes: 12510 | Edges: 305802 | log-lik: -23260657.95 | Elapsed 6266.94 s
Epoch 1 | Time: 2001 | Nodes: 13306 | Edges: 323874 | log-lik: -212.66 | Elapsed 6474.65 s
Epoch 1 | Time: 2002 | Nodes: 13603 | Edges: 336452 | log-lik: -6.07 | Elapsed 6698.25 s
Epoch 1 | Time: 2003 | Nodes: 13884 | Edges: 355300 | log-lik: -161.79 | Elapsed 6934.04 s
Epoch 1 | Time: 2004 | Nodes: 14313 | Edges: 372427 | log-lik: -9.10 | Elapsed 7189.61 s
Epoch 1 | Time: 2005 | Nodes: 14854 | Edges: 407884 | log-lik: -163770099715.97 | Elapsed 7478.60 s
Epoch 1 | Time: 2006 | Nodes: 13296 | Edges: 184635 | log-lik: -13.09 | Elapsed 7612.08 s
Epoch 1 | Time: 2007 | Nodes: 52 | Edges: 6 | log-lik: -1.76 | Elapsed 7612.43 s
Epoch 1 | Time: 2008 | Nodes: 0 | Edges: 0 | log-lik: -1.76 | Elapsed 7612.45 s
Epoch 1 | Time: 2009 | Nodes: 0 | Edges: 0 | log-lik: -1.76 | Elapsed 7612.47 s
Epoch 2 | Time: 1950 | Nodes: 1034 | Edges: 9854 | log-lik: -15.56 | Elapsed 7614.80 s
Epoch 2 | Time: 1951 | Nodes: 951 | Edges: 9629 | log-lik: -14.02 | Elapsed 7617.30 s
Epoch 2 | Time: 1952 | Nodes: 694 | Edges: 10672 | log-lik: -12.51 | Elapsed 7619.92 s
Epoch 2 | Time: 1953 | Nodes: 641 | Edges: 12177 | log-lik: -1043.58 | Elapsed 7623.00 s
Epoch 2 | Time: 1954 | Nodes: 655 | Edges: 12532 | log-lik: -1613.81 | Elapsed 7626.13 s
Epoch 2 | Time: 1955 | Nodes: 751 | Edges: 11793 | log-lik: -13.16 | Elapsed 7629.12 s
Epoch 2 | Time: 1956 | Nodes: 731 | Edges: 12686 | log-lik: -12.62 | Elapsed 7632.52 s
Epoch 2 | Time: 1957 | Nodes: 775 | Edges: 14000 | log-lik: -11.62 | Elapsed 7636.71 s
Epoch 2 | Time: 1958 | Nodes: 937 | Edges: 15298 | log-lik: -10.86 | Elapsed 7640.77 s
Epoch 2 | Time: 1959 | Nodes: 889 | Edges: 16272 | log-lik: -1469.04 | Elapsed 7645.14 s
Epoch 2 | Time: 1960 | Nodes: 1020 | Edges: 17969 | log-lik: -10.45 | Elapsed 7649.99 s
Epoch 2 | Time: 1961 | Nodes: 1074 | Edges: 20557 | log-lik: -12.41 | Elapsed 7655.48 s
Epoch 2 | Time: 1962 | Nodes: 1113 | Edges: 23430 | log-lik: -103963876190.99 | Elapsed 7662.21 s
Epoch 2 | Time: 1963 | Nodes: 1196 | Edges: 26169 | log-lik: -7.44 | Elapsed 7669.33 s
Epoch 2 | Time: 1964 | Nodes: 1299 | Edges: 31666 | log-lik: -10.29 | Elapsed 7678.82 s
Epoch 2 | Time: 1965 | Nodes: 1944 | Edges: 34589 | log-lik: -10.11 | Elapsed 7688.96 s
Epoch 2 | Time: 1966 | Nodes: 1876 | Edges: 37823 | log-lik: -9.24 | Elapsed 7700.09 s
Epoch 2 | Time: 1967 | Nodes: 1938 | Edges: 42833 | log-lik: -8.30 | Elapsed 7712.54 s
Epoch 2 | Time: 1968 | Nodes: 2090 | Edges: 48001 | log-lik: -30.42 | Elapsed 7727.01 s
Epoch 2 | Time: 1969 | Nodes: 2335 | Edges: 54623 | log-lik: -9.83 | Elapsed 7743.82 s
Epoch 2 | Time: 1970 | Nodes: 3050 | Edges: 56536 | log-lik: -1202.62 | Elapsed 7761.22 s
Epoch 2 | Time: 1971 | Nodes: 3119 | Edges: 64014 | log-lik: -7.42 | Elapsed 7781.91 s
Epoch 2 | Time: 1972 | Nodes: 3427 | Edges: 72547 | log-lik: -5.12 | Elapsed 7804.25 s
Epoch 2 | Time: 1973 | Nodes: 3674 | Edges: 78693 | log-lik: -3.84 | Elapsed 7828.33 s
Epoch 2 | Time: 1974 | Nodes: 4024 | Edges: 82741 | log-lik: -6.26 | Elapsed 7854.89 s
Epoch 2 | Time: 1975 | Nodes: 4445 | Edges: 91704 | log-lik: -3.66 | Elapsed 7885.71 s
Epoch 2 | Time: 1976 | Nodes: 4619 | Edges: 99203 | log-lik: -3.18 | Elapsed 7918.92 s
Epoch 2 | Time: 1977 | Nodes: 4939 | Edges: 104889 | log-lik: -3.42 | Elapsed 7954.26 s
Epoch 2 | Time: 1978 | Nodes: 5091 | Edges: 107435 | log-lik: -6.21 | Elapsed 7992.45 s
Epoch 2 | Time: 1979 | Nodes: 5296 | Edges: 116473 | log-lik: -3.14 | Elapsed 8032.50 s
Epoch 2 | Time: 1980 | Nodes: 5609 | Edges: 121177 | log-lik: -5.81 | Elapsed 8074.94 s
Epoch 2 | Time: 1981 | Nodes: 5777 | Edges: 126214 | log-lik: -2.78 | Elapsed 8119.41 s
Epoch 2 | Time: 1982 | Nodes: 6120 | Edges: 134770 | log-lik: -2.85 | Elapsed 8169.72 s
Epoch 2 | Time: 1983 | Nodes: 6267 | Edges: 141881 | log-lik: -3.94 | Elapsed 8223.80 s
Epoch 2 | Time: 1984 | Nodes: 6670 | Edges: 148155 | log-lik: -2.55 | Elapsed 8280.25 s
Epoch 2 | Time: 1985 | Nodes: 6944 | Edges: 157025 | log-lik: -3.98 | Elapsed 8342.38 s
Epoch 2 | Time: 1986 | Nodes: 7076 | Edges: 152799 | log-lik: -3.30 | Elapsed 8405.18 s
Epoch 2 | Time: 1987 | Nodes: 7445 | Edges: 158542 | log-lik: -3.40 | Elapsed 8471.80 s
Epoch 2 | Time: 1988 | Nodes: 7728 | Edges: 167564 | log-lik: -5.77 | Elapsed 8545.46 s
Epoch 2 | Time: 1989 | Nodes: 7997 | Edges: 175880 | log-lik: -11.33 | Elapsed 8624.42 s
Epoch 2 | Time: 1990 | Nodes: 8246 | Edges: 184243 | log-lik: -5.06 | Elapsed 8713.23 s
Epoch 2 | Time: 1991 | Nodes: 8564 | Edges: 188567 | log-lik: -5.77 | Elapsed 8807.05 s
Epoch 2 | Time: 1992 | Nodes: 8708 | Edges: 194721 | log-lik: -7.32 | Elapsed 8911.38 s
Epoch 2 | Time: 1993 | Nodes: 8928 | Edges: 200875 | log-lik: -5.44 | Elapsed 9018.81 s
Epoch 2 | Time: 1994 | Nodes: 9318 | Edges: 211604 | log-lik: -3368909.06 | Elapsed 9141.55 s
Epoch 2 | Time: 1995 | Nodes: 9603 | Edges: 219886 | log-lik: -2115590.27 | Elapsed 9266.38 s
Epoch 2 | Time: 1996 | Nodes: 10226 | Edges: 252431 | log-lik: -4.54 | Elapsed 9413.71 s
Epoch 2 | Time: 1997 | Nodes: 10414 | Edges: 258762 | log-lik: -6.20 | Elapsed 9562.67 s
Epoch 2 | Time: 1998 | Nodes: 11137 | Edges: 267966 | log-lik: -4.66 | Elapsed 9713.14 s
Epoch 2 | Time: 1999 | Nodes: 11916 | Edges: 281085 | log-lik: -7.28 | Elapsed 9886.49 s
Epoch 2 | Time: 2000 | Nodes: 12510 | Edges: 305802 | log-lik: -94061997.82 | Elapsed 10081.46 s
Epoch 2 | Time: 2001 | Nodes: 13306 | Edges: 323874 | log-lik: -2187.49 | Elapsed 10295.25 s
Epoch 2 | Time: 2002 | Nodes: 13603 | Edges: 336452 | log-lik: -4.31 | Elapsed 10520.24 s
Epoch 2 | Time: 2003 | Nodes: 13884 | Edges: 355300 | log-lik: -51.99 | Elapsed 10757.03 s
Epoch 2 | Time: 2004 | Nodes: 14313 | Edges: 372427 | log-lik: -8.70 | Elapsed 11012.09 s
Epoch 2 | Time: 2005 | Nodes: 14854 | Edges: 407884 | log-lik: -51204600048106.22 | Elapsed 11302.77 s
Epoch 2 | Time: 2006 | Nodes: 13296 | Edges: 184635 | log-lik: -6.76 | Elapsed 11435.96 s
Epoch 2 | Time: 2007 | Nodes: 52 | Edges: 6 | log-lik: -1.34 | Elapsed 11436.30 s
Epoch 2 | Time: 2008 | Nodes: 0 | Edges: 0 | log-lik: -1.34 | Elapsed 11436.33 s
Epoch 2 | Time: 2009 | Nodes: 0 | Edges: 0 | log-lik: -1.34 | Elapsed 11436.35 s
Epoch 3 | Time: 1950 | Nodes: 1034 | Edges: 9854 | log-lik: -15.54 | Elapsed 11438.69 s
Epoch 3 | Time: 1951 | Nodes: 951 | Edges: 9629 | log-lik: -14.05 | Elapsed 11441.00 s
Epoch 3 | Time: 1952 | Nodes: 694 | Edges: 10672 | log-lik: -12.43 | Elapsed 11443.84 s
Epoch 3 | Time: 1953 | Nodes: 641 | Edges: 12177 | log-lik: -1421.54 | Elapsed 11446.89 s
Epoch 3 | Time: 1954 | Nodes: 655 | Edges: 12532 | log-lik: -16.41 | Elapsed 11450.04 s
Epoch 3 | Time: 1955 | Nodes: 751 | Edges: 11793 | log-lik: -12.19 | Elapsed 11452.99 s
Epoch 3 | Time: 1956 | Nodes: 731 | Edges: 12686 | log-lik: -11.50 | Elapsed 11456.36 s
Epoch 3 | Time: 1957 | Nodes: 775 | Edges: 14000 | log-lik: -13.24 | Elapsed 11460.07 s
Epoch 3 | Time: 1958 | Nodes: 937 | Edges: 15298 | log-lik: -10.87 | Elapsed 11464.23 s
Epoch 3 | Time: 1959 | Nodes: 889 | Edges: 16272 | log-lik: -2003.70 | Elapsed 11468.54 s
Epoch 3 | Time: 1960 | Nodes: 1020 | Edges: 17969 | log-lik: -10.41 | Elapsed 11473.33 s
Epoch 3 | Time: 1961 | Nodes: 1074 | Edges: 20557 | log-lik: -12.16 | Elapsed 11478.51 s
Epoch 3 | Time: 1962 | Nodes: 1113 | Edges: 23430 | log-lik: -190664002113534.66 | Elapsed 11485.40 s
Epoch 3 | Time: 1963 | Nodes: 1196 | Edges: 26169 | log-lik: -5.71 | Elapsed 11492.82 s
Epoch 3 | Time: 1964 | Nodes: 1299 | Edges: 31666 | log-lik: -6.85 | Elapsed 11502.04 s
Epoch 3 | Time: 1965 | Nodes: 1944 | Edges: 34589 | log-lik: -8.53 | Elapsed 11512.11 s
Epoch 3 | Time: 1966 | Nodes: 1876 | Edges: 37823 | log-lik: -8.85 | Elapsed 11523.19 s
Epoch 3 | Time: 1967 | Nodes: 1938 | Edges: 42833 | log-lik: -10.75 | Elapsed 11535.55 s
Epoch 3 | Time: 1968 | Nodes: 2090 | Edges: 48001 | log-lik: -27.85 | Elapsed 11549.91 s
Epoch 3 | Time: 1969 | Nodes: 2335 | Edges: 54623 | log-lik: -9.85 | Elapsed 11566.62 s
Epoch 3 | Time: 1970 | Nodes: 3050 | Edges: 56536 | log-lik: -13.10 | Elapsed 11583.38 s
Epoch 3 | Time: 1971 | Nodes: 3119 | Edges: 64014 | log-lik: -9.75 | Elapsed 11603.91 s
Epoch 3 | Time: 1972 | Nodes: 3427 | Edges: 72547 | log-lik: -427384.50 | Elapsed 11626.11 s
Epoch 3 | Time: 1973 | Nodes: 3674 | Edges: 78693 | log-lik: -5.08 | Elapsed 11650.87 s
Epoch 3 | Time: 1974 | Nodes: 4024 | Edges: 82741 | log-lik: -11.49 | Elapsed 11677.47 s
Epoch 3 | Time: 1975 | Nodes: 4445 | Edges: 91704 | log-lik: -5.99 | Elapsed 11709.40 s
Epoch 3 | Time: 1976 | Nodes: 4619 | Edges: 99203 | log-lik: -8.10 | Elapsed 11742.49 s
Epoch 3 | Time: 1977 | Nodes: 4939 | Edges: 104889 | log-lik: -3.37 | Elapsed 11778.04 s
Epoch 3 | Time: 1978 | Nodes: 5091 | Edges: 107435 | log-lik: -3.93 | Elapsed 11815.11 s
Epoch 3 | Time: 1979 | Nodes: 5296 | Edges: 116473 | log-lik: -4.69 | Elapsed 11854.92 s
Epoch 3 | Time: 1980 | Nodes: 5609 | Edges: 121177 | log-lik: -6.37 | Elapsed 11897.07 s
Epoch 3 | Time: 1981 | Nodes: 5777 | Edges: 126214 | log-lik: -1.90 | Elapsed 11943.08 s
Epoch 3 | Time: 1982 | Nodes: 6120 | Edges: 134770 | log-lik: -3.55 | Elapsed 11993.60 s
Epoch 3 | Time: 1983 | Nodes: 6267 | Edges: 141881 | log-lik: -1321.25 | Elapsed 12047.18 s
Epoch 3 | Time: 1984 | Nodes: 6670 | Edges: 148155 | log-lik: -2.53 | Elapsed 12104.10 s
Epoch 3 | Time: 1985 | Nodes: 6944 | Edges: 157025 | log-lik: -13.76 | Elapsed 12165.12 s
Epoch 3 | Time: 1986 | Nodes: 7076 | Edges: 152799 | log-lik: -6.08 | Elapsed 12227.93 s
Epoch 3 | Time: 1987 | Nodes: 7445 | Edges: 158542 | log-lik: -3745.48 | Elapsed 12294.68 s
Epoch 3 | Time: 1988 | Nodes: 7728 | Edges: 167564 | log-lik: -4.57 | Elapsed 12368.30 s
Epoch 3 | Time: 1989 | Nodes: 7997 | Edges: 175880 | log-lik: -4.64 | Elapsed 12447.65 s
Epoch 3 | Time: 1990 | Nodes: 8246 | Edges: 184243 | log-lik: -7.05 | Elapsed 12535.07 s
Epoch 3 | Time: 1991 | Nodes: 8564 | Edges: 188567 | log-lik: -4.42 | Elapsed 12628.73 s
Epoch 3 | Time: 1992 | Nodes: 8708 | Edges: 194721 | log-lik: -316.25 | Elapsed 12728.68 s
Epoch 3 | Time: 1993 | Nodes: 8928 | Edges: 200875 | log-lik: -7.25 | Elapsed 12834.27 s
Epoch 3 | Time: 1994 | Nodes: 9318 | Edges: 211604 | log-lik: -6.15 | Elapsed 12952.62 s
Epoch 3 | Time: 1995 | Nodes: 9603 | Edges: 219886 | log-lik: -7.67 | Elapsed 13077.49 s
Epoch 3 | Time: 1996 | Nodes: 10226 | Edges: 252431 | log-lik: -3.19 | Elapsed 13223.64 s
Epoch 3 | Time: 1997 | Nodes: 10414 | Edges: 258762 | log-lik: -51396.13 | Elapsed 13373.10 s
Epoch 3 | Time: 1998 | Nodes: 11137 | Edges: 267966 | log-lik: -37.63 | Elapsed 13522.93 s
Epoch 3 | Time: 1999 | Nodes: 11916 | Edges: 281085 | log-lik: -14.12 | Elapsed 13697.69 s
Epoch 3 | Time: 2000 | Nodes: 12510 | Edges: 305802 | log-lik: -260.39 | Elapsed 13899.34 s
Epoch 3 | Time: 2001 | Nodes: 13306 | Edges: 323874 | log-lik: -5.33 | Elapsed 14108.97 s
Epoch 3 | Time: 2002 | Nodes: 13603 | Edges: 336452 | log-lik: -5202.80 | Elapsed 14332.02 s
Epoch 3 | Time: 2003 | Nodes: 13884 | Edges: 355300 | log-lik: -1144451.85 | Elapsed 14570.44 s
Epoch 3 | Time: 2004 | Nodes: 14313 | Edges: 372427 | log-lik: -6.81 | Elapsed 14828.75 s
