Epoch 0 | Time: 2001 | Nodes: 13985 | Edges: 378426 | log-lik: -1.44 | Elapsed 3248.85 s
Epoch 0 | Time: 2002 | Nodes: 14112 | Edges: 393385 | log-lik: -1.37 | Elapsed 3426.45 s
Epoch 0 | Time: 2003 | Nodes: 14218 | Edges: 414568 | log-lik: -1.36 | Elapsed 3612.75 s
Epoch 0 | Time: 2004 | Nodes: 14338 | Edges: 438958 | log-lik: -1.33 | Elapsed 3800.27 s
Epoch 0 | Time: 2005 | Nodes: 14425 | Edges: 458814 | log-lik: -1.29 | Elapsed 3994.30 s
Epoch 0 | Time: 2006 | Nodes: 14553 | Edges: 478281 | log-lik: -1.40 | Elapsed 4197.20 s
Epoch 0 | Time: 2007 | Nodes: 14624 | Edges: 493777 | log-lik: -1.29 | Elapsed 4411.20 s
Epoch 0 | Time: 2008 | Nodes: 14704 | Edges: 510568 | log-lik: -1.30 | Elapsed 4640.68 s
Epoch 0 | Time: 2009 | Nodes: 14468 | Edges: 353605 | log-lik: -1.26 | Elapsed 4804.28 s
Epoch 1 | Time: 1947 | Nodes: 1433 | Edges: 797 | log-lik: -1.22 | Elapsed 4804.77 s
Epoch 1 | Time: 1948 | Nodes: 2488 | Edges: 2569 | log-lik: -1.37 | Elapsed 4805.52 s
Epoch 1 | Time: 1949 | Nodes: 2064 | Edges: 3636 | log-lik: -1.36 | Elapsed 4806.49 s
Epoch 1 | Time: 1950 | Nodes: 2203 | Edges: 8987 | log-lik: -1.44 | Elapsed 4808.86 s
Epoch 1 | Time: 1951 | Nodes: 2534 | Edges: 10680 | log-lik: -1.47 | Elapsed 4811.57 s
Epoch 1 | Time: 1952 | Nodes: 2115 | Edges: 10845 | log-lik: -1.45 | Elapsed 4814.20 s
Epoch 1 | Time: 1953 | Nodes: 2161 | Edges: 14531 | log-lik: -1.49 | Elapsed 4816.94 s
Epoch 1 | Time: 1954 | Nodes: 2161 | Edges: 16109 | log-lik: -1.53 | Elapsed 4820.37 s
Epoch 1 | Time: 1955 | Nodes: 2170 | Edges: 15962 | log-lik: -1.45 | Elapsed 4824.59 s
Epoch 1 | Time: 1956 | Nodes: 2240 | Edges: 14022 | log-lik: -1.73 | Elapsed 4828.17 s
Epoch 1 | Time: 1957 | Nodes: 2249 | Edges: 13806 | log-lik: -1.40 | Elapsed 4831.51 s
Epoch 1 | Time: 1958 | Nodes: 2251 | Edges: 13915 | log-lik: -1.41 | Elapsed 4835.32 s
Epoch 1 | Time: 1959 | Nodes: 2590 | Edges: 16469 | log-lik: -1.47 | Elapsed 4839.26 s
Epoch 1 | Time: 1960 | Nodes: 2541 | Edges: 18891 | log-lik: -1.48 | Elapsed 4844.05 s
Epoch 1 | Time: 1961 | Nodes: 2827 | Edges: 22018 | log-lik: -4.64 | Elapsed 4849.49 s
Epoch 1 | Time: 1962 | Nodes: 3591 | Edges: 32244 | log-lik: -2.33 | Elapsed 4858.15 s
Epoch 1 | Time: 1963 | Nodes: 4061 | Edges: 66825 | log-lik: -1.51 | Elapsed 4877.61 s
Epoch 1 | Time: 1964 | Nodes: 4449 | Edges: 93918 | log-lik: -1.40 | Elapsed 4907.55 s
Epoch 1 | Time: 1965 | Nodes: 4782 | Edges: 89435 | log-lik: -1.46 | Elapsed 4931.50 s
Epoch 1 | Time: 1966 | Nodes: 5246 | Edges: 94468 | log-lik: -2.58 | Elapsed 4961.57 s
Epoch 1 | Time: 1967 | Nodes: 5572 | Edges: 111718 | log-lik: -1.89 | Elapsed 4997.55 s
